date,hor,anno,wt (gr),t2sp,spend,spdur,24rep,48rep,72rep,96rep
Oct_2015,control,907051,31,0.0,1.5,1.5,0,0,0,0
Oct_2015,5h,908136,27.2,1.0,2.5,1.5,0,0,0,0
Oct_2015,10h,907046,26.4,0.0,0.0,0.0,0,0,0,0
Oct_2015,0.3g,907092,28.9,1.0,1.5,0.5,1,0,0,0
Oct_2015,5h0.3g,907034,27.7,0.5,5.0,4.5,1,0,0,0
Oct_2015,10h0.3g,907024,27,0.0,0.0,0.0,1,0,0,0
Oct_2015,0.6g,907057,30.1,0.5,1.0,0.5,1,0,0,0
Oct_2015,5h0.6g,913350,29,0.5,0.5,0.0,0,0,0,0
Oct_2015,10h0.6g,913347,26.1,0.5,1.5,1.0,0,0,0,0
Nov_2015,control,907046,25.1,0,0,0.0,0,0,0,0
Nov_2015,5h,906711,35.4,1.5,2,0.5,1,0,0,0
Nov_2015,10h,911238,50.2,0,0,0.0,0,0,0,0
Nov_2015,0.3g,907034,26,1,3.5,2.5,1,0,0,0
Nov_2015,5h0.3g,906738,41.7,0,0,0.0,0,0,0,0
Nov_2015,10h0.3g,907081,41,1.5,2,0.5,0,0,0,0
Nov_2015,0.6g,907092,26.6,2,3,1.0,1,1,1,0
Nov_2015,5h0.6g,907091,29.4,0,0,0.0,0,0,0,0
Nov_2015,10h0.6g,907024,25.6,0,0,0.0,0,0,0,0
Nov_2015,control,907011,35.7,0,0,0.0,0,0,0,0
Nov_2015,5h,913351,36.2,1,2,1.0,0,0,0,0
Nov_2015,10h,907051,29,0.5,7,6.5,0,0,0,0
Nov_2015,0.3g,907190,32,0.5,7.5,7.0,0,0,0,0
Nov_2015,5h0.3g,907006,30.6,1,7.5,6.5,0,0,0,0
Nov_2015,10h0.3g,911216,43.7,0.5,1,0.5,0,0,0,0
Nov_2015,0.6g,906736,36.4,0.5,7.5,7.0,1,1,0,0
Nov_2015,5h0.6g,907091,26.6,1,7.5,6.5,1,1,1,0
Nov_2015,10h0.6g,907024,27.7,0.5,1,0.5,1,0,0,0
Jul_12_16,control,907190,28.4,0,0,0.0,0,0,0,0
Jul_12_16,5h,914009,22,0,0,0.0,0,0,0,0
Jul_12_16,10h,914483,16.53,0,0,0.0,0,0,0,0
Jul_12_16,0.3g,907051,28.71,0,0,0.0,0,0,0,0
Jul_12_16,5h0.3g,907024,28.39,0,0,0.0,0,0,0,0
Jul_12_16,10h0.3g,907081,38.9,0,0,0.0,0,0,0,0
Jul_12_16,0.6g,907091,29.38,0,0,0.0,0,0,0,0
Jul_12_16,5h0.6g,907011,34.08,0,0,0.0,0,0,0,0
Jul_12_16,10h0.6g,906711,33.33,0,0,0.0,0,0,0,0
Jul_19_16,control,914540,10.66,na,na,na,0,0,0,0
Jul_19_16,5h,913350,30.61,na,na,na,0,0,0,0
Jul_19_16,10h,906736,36.37,na,na,na,0,0,0,0
Jul_19_16,0.3g,907046,25.83,na,na,na,0,0,0,0
Jul_19_16,5h0.3g,913351,34.99,na,na,na,0,0,0,0
