andate,resp,avconml,egg,emb
906711_15,1,1000000,na,na
906711_15,1,400000,na,na
906711_16,0,0,na,na
906711_16,0,0,na,na
906736_15,1,3900000,na,na
906736_15,1,13000000,na,na
906736_16,0,0,na,na
906736_16,0,0,na,na
906736_16,0,0,na,na
906736_17,1,1804000,na,na
906736_17,1,60000,na,na
906736_17,0,0,na,na
906738_15,0,0,na,na
906738_15,1,0,na,na
906738_16,0,0,na,na
906738_16,0,0,na,na
906738_16,1,1,203,1
906738_16,1,19,722,19
906738_16,1,6,443,6
906738_16,0,1000000,378,0
906738_16,1,532,396,532
906738_16,1,166,549,166
906738_16,1,1,555,1
906738_16,1,318,838,318
906738_16,1,103,826,103
906738_16,1,199,464,199
906738_16,1,196,545,196
906738_16,0,0,1068,0
906738_17,0,0,na,na
906738_17,0,0,na,na
906738_17,1,0,639,0
906738_17,0,0,na,na
906738_17,1,2,500,2
906738_17,1,312,214,312
906738_17,0,0,na,na
906738_17,1,65,550,65
906738_17,0,0,na,na
906738_17,0,0,na,na
906738_17,1,221,1107,221
906738_17,0,0,na,na
906738_17,1,4,151,4
906738_17,1,4,1349,4
906738_18,0,0,na,na
906738_18,0,0,na,na
906738_18,0,0,na,na
906738_18,0,0,na,na
906738_18,0,0,na,na
906738_18,0,0,na,na
906738_18,0,0,na,na
906738_18,0,0,na,na
906738_18,0,0,na,na
906738_18,0,0,na,na
906738_18,0,0,na,na
906738_18,0,0,na,na
906738_18,0,0,na,na
906738_18,1,646,1058,646
906738_18,0,0,na,na
906738_18,0,0,na,na
906738_18,0,0,474,0
906738_18,0,0,na,na
907006_15,1,800000,na,na
907006_15,1,2300000,na,na
907006_16,0,0,na,na
907006_16,0,0,na,na
907006_16,0,0,na,na
907006_17,1,1120000,na,na
907006_17,0,10000,na,na
907011_15,1,5100000,na,na
907011_15,0,0,na,na
907011_16,0,0,na,na
907011_16,0,0,na,na
907011_16,0,0,na,na
907011_16,0,100000,na,na
907011_17,0,1874000,na,na
907011_17,0,10000,na,na
907011_17,0,20000,na,na
907024_15,0,1600000,na,na
907024_15,0,0,na,na
907024_16,0,0,na,na
907024_16,0,0,na,na
907024_16,0,0,na,na
907024_16,0,0,na,na
907024_17,1,10000,na,na
907034_15,1,26400000,na,na
907034_15,0,3400000,na,na
907034_16,0,0,na,na
907034_16,1,300000,na,na
907034_17,0,0,na,na
907034_16,0,0,na,na
907046_15,0,0,na,na
907046_15,0,0,na,na
907046_16,0,0,na,na
907046_16,0,0,na,na
907046_16,0,0,na,na
907046_18,0,0,na,na
907051_15,0,0,na,na
907051_15,1,2300000,na,na
907051_16,0,0,na,na
907051_16,0,0,na,na
907051_16,0,0,na,na
907051_17,1,180000,na,na
907051_16,0,0,na,na
907057_15,1,1000000,na,na
907057_16,0,0,na,na
907057_17,1,1358000,na,na
907057_17,0,0,na,na
907057_16,0,0,na,na
907066_16,1,0,447,0
907066_16,1,414,504,414
907066_16,1,0,794,0
907066_16,1,308,390,308
907066_16,1,1,537,1
907066_16,1,23,864,23
907066_16,1,168,464,168
907066_17,0,0,na,na
907066_17,0,0,na,na
907066_17,0,0,na,na
907066_17,0,0,na,na
907066_17,0,0,na,na
907066_17,0,0,na,na
907066_17,1,276,654,276
907081_15,0,100000,na,na
907081_16,0,0,na,na
907081_16,0,0,na,na
907081_16,0,0,na,na
907081_17,1,440000,na,na
907081_17,0,0,na,na
907081_17,0,0,na,na
907091_15,0,0,na,na
907091_15,1,0,na,na
907091_16,0,0,na,na
907092_15,1,2800000,na,na
907092_15,1,700000,na,na
907092_16,0,0,na,na
907092_16,0,0,na,na
907092_17,1,2860000,na,na
907092_17,0,0,na,na
907092_16,1,100000,na,na
907190_15,1,10700000,na,na
907190_15,1,20500000,na,na
907190_16,0,0,na,na
907190_16,0,0,na,na
907190_17,1,4328000,na,na
907190_17,0,0,na,na
907190_16,1,600000,na,na
908136_15,1,3000000,na,na
908136_15,1,19100000,na,na
908136_16,1,2500000,na,na
908136_16,0,0,na,na
908136_16,0,0,na,na
908136_17,0,0,na,na
908136_16,0,0,na,na
911216_15,1,100000,na,na
911216_15,1,3500000,na,na
911216_16,0,0,na,na
911216_17,0,0,na,na
911216_17,1,16200,na,na
911216_16,0,0,na,na
911238_15,0,0,na,na
911238_15,0,0,na,na
913347_15,0,0,na,na
913347_16,0,0,na,na
913347_16,0,0,na,na
913350_15,1,100000,na,na
913350_15,1,400000,na,na
913350_16,0,0,na,na
913350_16,0,0,na,na
913350_17,0,0,na,na
913350_17,1,565000,na,na
913350_17,1,80000,na,na
913351_15,1,100000,na,na
913351_16,0,0,na,na
913351_16,0,0,na,na
913351_16,0,0,na,na
913351_17,1,704000,na,na
913351_16,0,0,na,na
914009_16,0,0,na,na
914009_16,0,0,na,na
914009_16,0,0,na,na
914009_17,0,40000,na,na
914009_17,1,120000,na,na
914009_16,0,0,na,na
914483_16,0,0,na,na
914483_16,0,0,na,na
914483_16,1,4800000,na,na
914483_17,0,413300,na,na
914483_16,1,2000000,na,na
914515_16,0,0,na,na
914515_16,0,0,na,na
914515_17,1,110000,na,na
914515_17,1,778980,na,na
914540_16,0,0,na,na
914540_16,0,0,na,na
914540_16,0,0,na,na
914540_17,1,157000,na,na
914540_17,0,0,na,na
914540_18,0,0,na,na
914540_16,0,0,na,na
914560_16,0,0,na,na
914560_16,1,400000,na,na
914560_16,0,25,390,25
914560_17,0,10000,na,na
914560_17,0,0,na,na
914560_17,0,4,453,4
914560_16,0,0,na,na
915318_17,0,0,na,na
