anno,year,egg,emb
906738,16,203,1
907006,16,447,0
907011,16,722,19
907024,16,504,414
907034,16,443,6
907046,16,378,0
907051,16,794,0
907057,16,396,532
907190,16,390,308
908136,16,549,166
911216,16,555,1
913347,16,537,1
913350,16,838,318
913351,16,864,23
914009,16,826,103
914483,16,199,464
914515,16,464,168
914540,16,196,545
914560,16,390,25
915318,16,1068,0
906738,17,639,0
907006,17,na,na
907011,17,na,na
907024,17,na,na
907034,17,500,2
907046,17,214,312
907051,17,na,na
907057,17,na,na
907190,17,na,na
908136,17,550,65
911216,17,na,na
913347,17,na,na
913350,17,na,na
913351,17,na,na
914009,17,1107,221
914483,17,na,na
914515,17,654,276
914540,17,151,4
914560,17,453,4
915318,17,1349,4
906738,18,na,na
907006,18,na,na
907011,18,na,na
907024,18,na,na
907034,18,na,na
907046,18,na,na
907051,18,na,na
907057,18,na,na
907190,18,na,na
908136,18,na,na
911216,18,na,na
913347,18,na,na
913350,18,na,na
913351,18,na,na
914009,18,1058,646
914483,18,na,na
914515,18,na,na
914540,18,na,na
914560,18,474,0
915318,18,na,na
